"the_geom","OBJECTID","NYSStreetID","LeftFromAddress","LeftToAddress","RightFromAddress","RightToAddress","CompleteStreetName","HighwayNumber","Jurisdiction","FCC","ACC","SPEED","LeftPostal","RightPostal","Shape.STLength(m)"
"MULTILINESTRING ((-78.814080112892 42.957286529161, -78.814105147836 42.958109444173, -78.814098174261 42.958131465879, -78.814095601926 42.958168358924))","2,324","477,773,931",,,,,"Clement Road",,"12","A41","5","25","14214","14226","98.13518543375"
"MULTILINESTRING ((-78.881234184136 42.931906498062, -78.88123412313 42.931944495715))","3,149","477,780,332",,,,,"Cleveland Circle",,"12","A41","5","25","14222","14222","4.22473667886"
"MULTILINESTRING ((-78.84157612879 42.936956491314, -78.842021093374 42.937222451783, -78.842064089902 42.937267465734, -78.842140120645 42.937506479831, -78.842323113307 42.938400520244))","4,319","477,778,704","2","56","1","47","Fairfield Avenue",,"12","A40","5","25","14214","14214","180.78042801172"
"MULTILINESTRING ((-78.821230175653 42.86306847724, -78.821462137739 42.863219460849))","11,142","477,799,042","1","80","90","81","Dunbar Street",,"12","A41","5","25","14210","14210","25.33166003234"
"MULTILINESTRING ((-78.836983104333 42.864548436077, -78.836738154116 42.865325490114, -78.836259125563 42.866731479625))","11,206","477,798,799","30","72","29","71","Babcock Street",,"12","A41","5","25","14210","14210","249.83750730267"
"MULTILINESTRING ((-78.853973132928 42.905652440373, -78.852774109639 42.905637486014))","5,356","477,787,829","354","390","371","391","Dodge Street",,"12","A41","5","25","14208","14208","98.01313636444"
"MULTILINESTRING ((-78.862681092831 42.877469430358, -78.862443111095 42.878255485601))","10,325","477,795,641","588","698","545","599","Louisiana Street",,"12","A31","4","35","14204","14204","89.53541533954"
"MULTILINESTRING ((-78.86385707969 42.843608144402, -78.863852298236 42.843608025151, -78.86384761013 42.843607077421, -78.863843157819 42.843605330008, -78.863839076584 42.843602836006, -78.86383549043 42.843599671195, -78.863832508322 42.843595931735, -78.863830220869 42.843591731249, -78.863828697575 42.843587197365, -78.863827984723 42.843582467844, -78.863828103974 42.84357768639, -78.863829051704 42.843572998284, -78.863830799117 42.843568545973, -78.863833293119 42.843564464738, -78.86383645793 42.843560878584, -78.86384019739 42.843557896476, -78.863844397876 42.843555609023, -78.86384893176 42.843554085729, -78.863853661281 42.843553372877, -78.863858442735 42.843553492128, -78.863863130841 42.843554439858, -78.863867583152 42.843556187271, -78.863871664387 42.843558681273, -78.863875250541 42.843561846084, -78.863878232649 42.843565585544, -78.863880520102 42.84356978603, -78.863882043396 42.843574319914, -78.863882756248 42.843579049435, -78.863882636997 42.843583830889, -78.863881689267 42.843588518995, -78.863879941854 42.843592971306, -78.863877447852 42.843597052541, -78.863874283041 42.843600638695, -78.863870543581 42.843603620803, -78.863866343095 42.843605908256, -78.863861809211 42.84360743155, -78.86385707969 42.843608144402))","11,892",,,,,,,,,,,,,,"19.1511488189"
"MULTILINESTRING ((-78.892601161914 42.922023491265, -78.892464134674 42.923013521712))","8,585","477,783,518","340","374","341","375","Herkimer Street",,"12","A40","5","25","14213","14213","110.64425877508"
"MULTILINESTRING ((-78.872356197595 42.940090441066, -78.872351143466 42.940437524551, -78.872258151832 42.940537464665))","3,379","477,778,069","388","400",,,"Lincoln Parkway",,"12","A45","4","25","14216","14216","52.05222176132"
"MULTILINESTRING ((-78.87638416462 42.879227447873, -78.875662192518 42.879086438404, -78.875442195188 42.879045456625))","10,076","513,312,382","4","34","3","33","Exchange Street",,"12","A41","4","25","14203","14203","79.63797969418"
"MULTILINESTRING ((-78.889551354568 42.876304476478, -78.888641632347 42.876723729849, -78.888267711154 42.876855568197, -78.888046040513 42.876884545648, -78.8878212057 42.876896496173, -78.88772412141 42.876894485716))","9,563","493,141,308",,,,,"Fuhrmann Boulevard",,"12","A41","5","25","14203","14203","166.48279675837"
"MULTILINESTRING ((-78.823066202156 42.92259252075, -78.82263514064 42.922597482885))","1,468","477,783,322","918","928","917","927","East Delavan Avenue",,"12","A31","4","35","14215","14215","35.2256525844"
"MULTILINESTRING ((-78.878144103503 42.899471440259, -78.878909101441 42.899478437636))","8,018","477,789,615","214","236","219","237","Allen Street",,"12","A31","4","35","14201","14201","62.53719293343"
"MULTILINESTRING ((-78.854312100139 42.957012509402, -78.854295176913 42.957867440316))","3,671","477,773,978","28","58","29","59","Hobmoor Avenue",,"12","A41","5","25","14216","14216","95.06345091536"
"MULTILINESTRING ((-78.852768100656 42.898003507211, -78.852106210208 42.898306460131, -78.851876164454 42.898421446547))","6,859","516,218,529",,,,,"State Route 33","33","01","A15","2","65","14211","14211","86.47100933065"
"MULTILINESTRING ((-78.899803962947 42.902707001488, -78.899725227283 42.904189509198))","9,028","477,788,659",,,,,"Ramp","951J","12","A60","1","45","14201","14201","164.95814120239"
"MULTILINESTRING ((-78.869096169308 42.953912468487, -78.869148164614 42.95460444209))","3,491","477,774,776","2562","2570","2559","2625","Delaware Avenue","384","01","A31","3","35","14216","14216","77.05317968761"
"MULTILINESTRING ((-78.897921130348 42.898402506826, -78.897795163255 42.898265444004))","8,976","508,421,599",,,,,"Interstate 190 Southbound","190","06","A15","1","65","14201","14201","18.39202000809"
"MULTILINESTRING ((-78.862889101138 42.876844474166, -78.862784152324 42.877159460263))","10,323","477,795,819","500","542","501","521","Louisiana Street",,"12","A31","4","35","14204","14204","36.05690641271"
